learning start at Tue Jul 24 17:47:04 2018
episode,stage,miss,agari,draw,tenpai,average_value,average_entropy
10,10,0,0,0,9.752323254886909e-05,0.042071251573639064
20,10,0,0,0,0.00013503010904720205,0.09738839360182067
30,10,0,0,0,0.00014087891292259176,0.14506804245058033
40,10,0,0,0,0.00017479340667249645,0.19874434254321718
50,10,0,0,0,0.00020095273536886802,0.2613749476844846
60,10,0,0,0,0.0002105986959121167,0.31641895027395406
70,10,0,0,0,0.0002078772794826207,0.35788241526919895
learning start at Tue Jul 24 18:03:03 2018
episode,stage,miss,agari,draw,tenpai,average_value,average_entropy
10,10,0,0,0,4.793297702626874e-05,0.055977346102863555
20,10,0,0,0,7.874152584550998e-05,0.10080126159182905
30,9,1,0,0,0.00010243708505797,0.1686256034901055
40,10,0,0,0,0.00010111336382095541,0.21199495419899542
50,10,0,0,0,9.92094027054635e-05,0.2743745440236672
60,10,0,0,0,0.00011387682008207686,0.33557347005352817
70,8,2,0,0,0.00011173252353017825,0.3956182805933861
80,10,0,0,0,0.00010973834234994224,0.45146830509043756
90,10,0,0,0,0.00014751097822488264,0.49118329051477283
100,10,0,0,0,0.00014545919448212029,0.5333763484465945
110,10,0,0,0,0.00016360719688355744,0.5749830529739943
120,10,0,0,0,0.00016197846764003435,0.6043450512363976
130,10,0,0,0,0.00016320778196310187,0.644965947183449
140,10,0,0,0,0.00016109876444363283,0.6821799042033188
150,10,0,0,0,0.00015869912526672396,0.724517719233214
160,10,0,0,0,0.00015649172152544812,0.763464049894494
