episode,stage,miss,agari,draw,tenpai,average_value,average_entropy
 770000,3, 1328, 8672, 0, 0, 5.249410695069308e-252, 0.08645939036811255
 780000,3, 1244, 8756, 0, 0, 2.465e-321, 0.08251772563827349
 790000,3, 1028, 8972, 0, 0, 2.465e-321, 0.0679311753126291
 800000,3, 634, 9366, 0, 0, 2.465e-321, 0.06748282802966916
 810000,4, 545, 3459, 5996, 0, 2.465e-321, 0.08196531877119789
 820000,4, 693, 4028, 5279, 0, 2.465e-321, 0.0815258080068414
 830000,4, 1545, 4901, 3554, 0, 2.465e-321, 0.07495029387884962
 840000,4, 1143, 5560, 3297, 0, 2.465e-321, 0.062123371962265424
 850000,4, 1131, 5800, 3069, 0, 2.465e-321, 0.06068946880897711
 860000,4, 1410, 5757, 2833, 0, 2.465e-321, 0.054171521522533295
 870000,4, 1054, 6051, 2895, 0, 2.1878457042950898e-36, 0.062203691886095605
 880000,4, 927, 6287, 2786, 0, 3.2869805873678227e-91, 0.04855119463768027
 890000,4, 866, 6298, 2836, 0, 1.751553430858601e-146, 0.046429282294913284
 900000,4, 936, 6297, 2767, 0, 6.63273609423268e-201, 0.05306685972365868
 910000,4, 903, 6433, 2664, 0, 1.0704579358419197e-254, 0.05428386432474407
 920000,4, 894, 6348, 2758, 0, 5.599976918798313e-309, 0.0550198860006248
 930000,4, 1025, 6410, 2565, 0, 2.465e-321, 0.051347284930473934
 940000,4, 1523, 6118, 2359, 0, 2.465e-321, 0.06289100825343319
 950000,4, 1232, 6286, 2482, 0, 2.950035575694624e-05, 0.06677468690823038
 960000,4, 889, 6704, 2407, 0, 1.190697624986179e-31, 0.053736969626632755
 970000,4, 808, 6681, 2511, 0, 2.317340080928724e-83, 0.046261574744159505
 980000,4, 796, 6778, 2426, 0, 4.517089283487902e-134, 0.04360553760026174
 990000,4, 545, 6896, 2559, 0, 5.275426152389353e-185, 0.03796539321878308
 1000000,4, 573, 7128, 2299, 0, 1.771778173824008e-46, 0.04985846770980332
 1010000,5, 1053, 1779, 7168, 0, 9.086151289821802e-07, 0.05931080479260313
 1020000,5, 1005, 1956, 7039, 0, 1.8372961357694712e-16, 0.05268952083154425
 1030000,5, 904, 2072, 7024, 0, 8.283918971487425e-10, 0.06775844403081133
 1040000,5, 885, 2179, 6936, 0, 6.214845903541975e-12, 0.06511014789246392
 1050000,5, 863, 2099, 7038, 0, 1.5737950767765714e-05, 0.07055052189421554
 1060000,5, 816, 2255, 6929, 0, 9.700416971019783e-11, 0.06619453844979856
 1070000,5, 836, 2226, 6938, 0, 1.1263577978995363e-06, 0.07071386439208278
 1080000,5, 745, 2332, 6923, 0, 2.5570332785216973e-05, 0.06876842817709984
 1090000,5, 792, 2317, 6891, 0, 1.8169091152357862e-08, 0.06657543552214135
 1100000,5, 541, 2363, 7096, 0, 4.759630454958691e-35, 0.06226082407921829
 1110000,5, 441, 2325, 7234, 0, 1.2575442554186218e-05, 0.05712231343775684
 1120000,5, 406, 2369, 7225, 0, 2.3929244223831938e-06, 0.05640962442090601
 1130000,5, 368, 2567, 7065, 0, 1.0300968267478899e-06, 0.05170180331797664
 1140000,5, 367, 2375, 7258, 0, 4.7289261434379754e-05, 0.05271343612592725
 1150000,5, 295, 2469, 7236, 0, 4.580997404053456e-05, 0.054811844346298245
 1160000,5, 247, 2514, 7239, 0, 9.359950865993231e-05, 0.051519989932242764
 1170000,5, 271, 2516, 7213, 0, 0.0001540189213184888, 0.06348044538639043
 1180000,5, 260, 2710, 7030, 0, 0.00010222527770195845, 0.0506292451004858
 1190000,5, 273, 2646, 7081, 0, 0.0001282652594182621, 0.04636304219998017
 1200000,5, 315, 2870, 6815, 0, 5.8782410087259585e-06, 0.04997395712550218
 1210000,5, 235, 2935, 6830, 0, 5.873619480347362e-05, 0.04267012239554245
 1220000,5, 223, 2834, 6943, 0, 0.00023145704804746855, 0.045865064907147375
 1230000,5, 227, 2971, 6802, 0, 0.0004317661274236732, 0.04592405988231516
 1240000,5, 301, 2804, 6895, 0, 0.0006790714418916088, 0.059550279907554314
 1250000,5, 217, 3080, 6703, 0, 0.0005096511111988721, 0.05578130763801919
 1260000,5, 220, 3216, 6564, 0, 0.0029846980730630964, 0.04787288731935987
 1270000,5, 262, 3290, 6448, 0, 0.01253452116437126, 0.05300301255489909
 1280000,5, 397, 2922, 6681, 0, 0.03471709008384488, 0.05132291443661483
 1290000,5, 677, 2840, 6483, 0, 0.12256801276624751, 0.05362471314922515
 1300000,5, 408, 3072, 6520, 0, 0.17926925322199413, 0.05502569930197125
 1310000,5, 318, 3267, 6415, 0, 0.19042240590738962, 0.04924913596444351
 1320000,5, 432, 2913, 6655, 0, 0.17296260381414222, 0.05837605604348463
 1330000,5, 391, 3078, 6531, 0, 0.1953790885157894, 0.047698960464510554
 1340000,5, 373, 3144, 6483, 0, 0.19343279018183168, 0.05119272027082573
 1350000,5, 289, 3267, 6444, 0, 0.21048015950479323, 0.041731695054300404
 1360000,5, 259, 3360, 6381, 0, 0.20084186004498544, 0.048556761180867464
 1370000,5, 320, 3284, 6396, 0, 0.19685533545167644, 0.05171408481671659
 1380000,5, 309, 3226, 6465, 0, 0.17447982720205713, 0.0525444240719665
 1390000,5, 249, 3269, 6482, 0, 0.22618940680799177, 0.0487958932347625
 1400000,5, 394, 3176, 6430, 0, 0.1584586219664386, 0.049631419160569734
 1410000,5, 274, 3347, 6379, 0, 0.20219730596800697, 0.04926722885652926
 1420000,5, 229, 3472, 6299, 0, 0.2181242760363089, 0.04159779246920903
 1430000,5, 295, 3295, 6410, 0, 0.2030630451355909, 0.043789330970034374
 1440000,5, 317, 3250, 6433, 0, 0.23395551072881013, 0.043135171313914034
 1450000,5, 245, 3338, 6417, 0, 0.21689155532946455, 0.04592097092705564
 1460000,5, 251, 3146, 6603, 0, 0.17592853565989103, 0.047252130604732774
