learning start at Wed Jun 20 00:08:58 2018
('episode:', 330000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 3.510047368837044e-53), ('average_entropy', 3.4516526379191923)])
('episode:', 340000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 6.196279301096201e-60), ('average_entropy', 3.4468520351670024)])
('episode:', 350000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.060422975744904e-66), ('average_entropy', 3.44634085898099)])
('episode:', 360000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.642011122824416e-73), ('average_entropy', 3.4311612510011122)])
('episode:', 370000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.892844432234935e-80), ('average_entropy', 3.4179914516302676)])
('episode:', 380000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 5.537816248701751e-87), ('average_entropy', 3.4246328710583875)])
('episode:', 390000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 9.611028150722946e-94), ('average_entropy', 3.4247837185594494)])
('episode:', 400000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.8088252467271795e-100), ('average_entropy', 3.408540554100751)])
('episode:', 410000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.956359285905863e-107), ('average_entropy', 3.3764366391584053)])
('episode:', 420000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 4.660960156267054e-114), ('average_entropy', 3.3772493215531996)])
('episode:', 430000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 9.121118779865132e-121), ('average_entropy', 3.3873478467714113)])
('episode:', 440000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.910590583423451e-127), ('average_entropy', 3.3674924529685657)])
('episode:', 450000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 3.4790086307814064e-134), ('average_entropy', 3.2997464058916015)])
('episode:', 460000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 5.312137491470535e-141), ('average_entropy', 3.35364002917552)])
('episode:', 470000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.0118361936523187e-147), ('average_entropy', 3.3458951289213337)])
('episode:', 480000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.7861923227848228e-154), ('average_entropy', 3.345373628310353)])
('episode:', 490000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 3.71540496869153e-161), ('average_entropy', 3.350684177522292)])
('episode:', 500000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 6.506509550230829e-168), ('average_entropy', 3.366091211091975)])
('episode:', 510000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.2257710077880696e-174), ('average_entropy', 3.347446388691797)])
('episode:', 520000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.1768796724286026e-181), ('average_entropy', 3.336317432798014)])
('episode:', 530000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 3.8083935961803724e-188), ('average_entropy', 3.3550137658476915)])
('episode:', 540000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 7.437817596602561e-195), ('average_entropy', 3.3493399836535613)])
('episode:', 550000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.5013712994768844e-201), ('average_entropy', 3.3419179483710373)])
('episode:', 560000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.682379732853529e-208), ('average_entropy', 3.3361643120417255)])
('episode:', 570000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 4.811610408185501e-215), ('average_entropy', 3.3219077472216822)])
('episode:', 580000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 7.646887969169749e-222), ('average_entropy', 3.3325464690970676)])
('episode:', 590000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.4550942309768098e-228), ('average_entropy', 3.3283806812409162)])
('episode:', 600000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.6869659125721648e-235), ('average_entropy', 3.3379415160957353)])
('episode:', 610000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 4.653979237079111e-242), ('average_entropy', 3.3398816214142464)])
